File Name,admin_2023-12-19 11-10-36_BR007856_23-12-19 ARWV-1 plate 2.pcrd,,,,,,,,,,,,,,,,,
Created By User,admin,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Run Started,12/19/2023 10:11:11 UTC,,,,,,,,,,,,,,,,,
Run Ended,12/19/2023 11:45:46 UTC,,,,,,,,,,,,,,,,,
Sample Vol,10,,,,,,,,,,,,,,,,,
Lid Temp,105,,,,,,,,,,,,,,,,,
Protocol File Name,23-03-02 58-20-40 -- PROTOCOL.prcl,,,,,,,,,,,,,,,,,
Plate Setup File Name,23-12-19 ARWV-1 plate 2.pltd,,,,,,,,,,,,,,,,,
Base Serial Number,BR007856,,,,,,,,,,,,,,,,,
Optical Head Serial Number,788BR07489,,,,,,,,,,,,,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well group,All Wells,,,,,,,,,,,,,,,,,
Amplification step,4,,,,,,,,,,,,,,,,,
Melt step,6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Fluor,Target,Content,Replicate,Sample,Biological Set Name,Well Note,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Call,End RFU
A07,SYBR,ARWV1-3505:3506,Unkn,,2399,,,40.9298064881441,NaN,40.9298064881441,0,0,None,None,None,None,,43.6038035431773
A08,SYBR,ARWV1-3505:3506,Unkn,,2407,,,38.9371252897609,NaN,38.9371252897609,0,0,None,None,None,None,,130.129522288954
A09,SYBR,ARWV1-3505:3506,Unkn,,2415,,,20.0732236116267,NaN,20.0732236116267,0,0,80.5,566.265971655862,67.5,88,(+) Positive,1638.4690603872
A10,SYBR,ARWV1-3505:3506,Pos Ctrl,,1961,,,19.1053314163444,NaN,19.1053314163444,0,0,81,591.786906273388,75,85.5,(+) Positive,1817.09957132771
B01,SYBR,ARWV1-3505:3506,Unkn,,2288,,,40.4316870459292,NaN,40.4316870459292,0,0,None,None,None,None,,57.2727913045466
B02,SYBR,ARWV1-3505:3506,Unkn,,2298,,,17.31785354126,NaN,17.31785354126,0,0,81,509.21228792382,75.5,86.5,(+) Positive,1586.18069050686
B03,SYBR,ARWV1-3505:3506,Unkn,,2308,,,39.0705655023583,NaN,39.0705655023583,0,0,None,None,None,None,,130.168385261448
B04,SYBR,ARWV1-3505:3506,Unkn,,2376,,,NaN,NaN,0,0,0,None,None,None,None,,33.392981437756
B05,SYBR,ARWV1-3505:3506,Unkn,,2384,,,39.8210276991418,NaN,39.8210276991418,0,0,None,None,None,None,,86.7086840531497
B06,SYBR,ARWV1-3505:3506,Unkn,,2392,,,NaN,NaN,0,0,0,None,None,None,None,,0.0714143107176824
B07,SYBR,ARWV1-3505:3506,Unkn,,2400,,,NaN,NaN,0,0,0,None,None,None,None,,34.8914514146404
